"","text","Type"
"1","Java","Tools"
"2","JavaScript","Tools"
"3","C","Tools"
"4","C++","Tools"
"5","Objective-C","Tools"
"6","Stata","Tools"
"7","SAS","Tools"
"8","Oracle","Tools"
"9","Teradata","Tools"
"10","Vertica","Tools"
"11","Python","Tools"
"12","Scala","Tools"
"13","Spark","Tools"
"14","Hive","Tools"
"15","Oozie","Tools"
"16","Kafka","Tools"
"17","R","Tools"
"18","SQL","Tools"
"19","NoSQL","Tools"
"20","Cassandra","Tools"
"21","SQA","Tools"
"22","Git","Tools"
"23","Jenkins","Tools"
"24","Apache","Tools"
"25","Hadoop","Tools"
"26","AWS","Tools"
"27","Azure","Tools"
"28","HDFS","Tools"
"29","Xcode Server","Tools"
"30","POSIX","Tools"
"31","NLP","Tools"
"32","Tomcat","Tools"
"33","vLinux","Tools"
"34","Matplotlib","Tools"
"35","Hive","Tools"
"36","Pig","Tools"
"37","HBase","Tools"
"38","Hana","Tools"
"39","Map Reduce","Tools"
"40","J2EE","Tools"
"41","REST","Tools"
"42","Unix","Tools"
"43","Perl","Tools"
"44","Shell","Tools"
"45","Impala","Tools"
"46","Mongo","Tools"
"47","Bash","Tools"
"48","Junit","Tools"
"49","TestNG","Tools"
"50","Cucumber","Tools"
"51","Watir","Tools"
"52","Appium","Tools"
"53","JMeter","Tools"
"54","SoapUI","Tools"
"55","Racket","Tools"
"56","numpy","Tools"
"57","Pandas","Tools"
"58","Druid","Tools"
"59","Superset","Tools"
"60","Tableau","Tools"
"61","MR Frameworks","Skills"
"62","Multi threaded programming","Skills"
"63","Image classification","Skills"
"64","ETL data pipelines","Skills"
"65","ETL","Skills"
"66","data modeling","Skills"
"67","modeling","Skills"
"68","analysis","Skills"
"69","tuning","Skills"
"70","troubleshooting","Skills"
"71","mining","Skills"
"72","efficient","Skills"
"73","efficiency","Skills"
"74","engineer","Skills"
"75","engineering","Skills"
"76","problem solving","Skills"
"77","problem solver","Skills"
"78","forcast","Skills"
"79","forcasting","Skills"
"80","extraction","Skills"
"81","management","Skills"
"82","report","Skills"
"83","reporting","Skills"
"84","manipulation","Skills"
"85","manipulate","Skills"
"86","transform","Skills"
"87","exploratory","Skills"
"88","explore","Skills"
"89","query","Skills"
"90","queries","Skills"
"91","visualization","Skills"
"92","segmentation","Skills"
"93","prototyping","Skills"
"94","prototype","Skills"
"95","build","Skills"
"96","building","Skills"
"97","design","Skills"
"98","designing","Skills"
"99","debugging","Skills"
"100","architect","Skills"
"101","architecting","Skills"
"102","optimization","Skills"
"103","data pipelines","Skills"
"104","pipelines","Skills"
"105","data mining","Skills"
"106","machine learning","Skills"
"107","dimensional data  models","Skills"
"108","build","Skills"
"109","building","Skills"
"110","implementing","Skills"
"111","implement","Skills"
"112","manipulation","Skills"
"113","cleansing","Skills"
"114","recommend","Skills"
"115","natural language processing","Skills"
"116","image analysis","Skills"
"117","time series analysis","Skills"
"118","regression","Skills"
"119","Scripting","Skills"
"120","script","Skills"
"121","automation","Skills"
"122","software engineering","Skills"
"123","ROC","Skills"
"124","R.O.C.","Skills"
"125","relational database","Skills"
"126","develop","Skills"
"127","driver","Skills"
"128","support","Skills"
"129","database management","Skills"
"130","cross functional systems","Skills"
"131","optimization","Skills"
"132","dimensional","Skills"
"133","decisions","Skills"
"134","process","Skills"
"135","opportunity","Skills"
"136","opportunities","Skills"
"137","development","Skills"
"138","raw","Skills"
"139","unsupervised","Skills"
"140","supervised","Skills"
"141","problem solving","Skills"
"142","driven","Skills"
"143","decisions","Skills"
"144","concept","Skills"
"145","deployment","Skills"
"146","production","Skills"
"147","solution","Skills"
"148","quality","Skills"
"149","learns quickly","Skills"
"150","learn","Skills"
"151","vision","Skills"
"152","long term","Skills"
"153","technical","Skills"
"154","Deep learning","Skills"
"155","operations","Skills"
"156","prototypes","Skills"
"157","algorithms","Skills"
"158","unstructured","Skills"
"159","structured","Skills"
"160","warehouse","Skills"
"161","data warehouse","Skills"
"162","correlation","Skills"
"163","statistics","Skills"
"164","Bayesian","Skills"
"165","classifier","Skills"
"166","Bachelors","Education"
"167","Bachelor's","Education"
"168","BA","Education"
"169","BS","Education"
"170","B.S.","Education"
"171","B.A.","Education"
"172","MS","Education"
"173","M.S.","Education"
"174","Masters","Education"
"175","Master's","Education"
"176","PhD","Education"
"177","Statistics","Courses"
"178","Machine learning","Courses"
"179","data science","Courses"
"180","data analytics","Courses"
"181","analytics","Courses"
"182","Economics","Courses"
"183","econometrics","Courses"
"184","STEM","Courses"
"185","S.T.E.M.","Courses"
"186","science","Courses"
"187","technology","Courses"
"188","math","Courses"
"189","engineering","Courses"
"190","data mining","Courses"
"191","Computer Science","Courses"
"192","Physics","Courses"
"193","Computer Information Systems","Courses"
"194","CIS","Courses"
"195","C.I.S.","Courses"
"196","quantitative background","Courses"
"197","quantitative","Courses"
"198","attention to detail","softskills"
"199","detail","softskills"
"200","curious","softskills"
"201","curiosity","softskills"
"202","innovative","softskills"
"203","time management","softskills"
"204","team player","softskills"
"205","collaborative","softskills"
"206","interpersonal","softskills"
"207","communication","softskills"
"208","written","softskills"
"209","oral","softskills"
"210","critical thinking","softskills"
"211","pro-active","softskills"
"212","pro active","softskills"
"213","solution","softskills"
"214","self-starter","softskills"
"215","self starter","softskills"
"216","motivated","softskills"
"217","years of experience","Experience"
"218","programming","Experience"
"219","data mining","Experience"
"220","mining","Experience"
"221","database","Experience"
"222","unstructured","Experience"
"223","structured","Experience"
"224","data science","Experience"
"225","analysis","Experience"
"226","modeling","Experience"
"227","FALSE","FALSE"
